time_ms,heading_deg,roll_deg,pitch_deg,pos_x_m,pos_y_m,pos_z_m
0,0.28,2.15,9.40,0.007,-0.000,0.048
100,0.94,21.01,1.02,0.002,0.007,0.057
200,1.40,9.79,-6.67,0.003,0.007,0.041
300,2.82,-13.46,-6.91,0.006,0.006,0.060
400,2.34,-21.81,5.25,-0.001,-0.001,0.042
500,3.52,-3.03,10.59,0.002,-0.009,0.054
600,3.94,22.03,1.58,0.010,-0.011,0.054
700,2.99,10.75,-7.34,0.015,-0.011,0.036
800,3.36,-12.96,-2.68,0.023,-0.015,0.056
900,2.85,-16.78,4.22,0.017,-0.021,0.047
1000,2.65,2.04,7.77,0.013,-0.022,0.049
1100,3.90,17.59,2.50,0.007,-0.028,0.052
1200,4.04,13.10,-7.21,0.000,-0.022,0.043
1300,4.06,-10.30,-8.13,0.000,-0.015,0.056
1400,3.87,-17.90,2.80,0.000,-0.021,0.045
1500,4.19,1.90,5.80,-0.003,-0.021,0.051
1600,5.83,15.78,5.26,-0.001,-0.023,0.059
1700,4.47,11.51,-7.67,0.004,-0.027,0.042
1800,5.10,-7.81,-4.67,0.010,-0.032,0.063
1900,5.11,-17.64,0.44,0.004,-0.029,0.047
2000,5.41,-2.10,9.21,0.001,-0.033,0.049
2100,6.64,21.40,0.75,-0.002,-0.029,0.061
2200,6.45,12.71,-8.45,0.001,-0.029,0.040
2300,4.73,-15.56,-9.99,-0.007,-0.023,0.057
2400,7.10,-16.14,5.87,-0.008,-0.031,0.048
2500,7.40,-3.74,6.81,-0.005,-0.034,0.050
2600,7.74,22.28,-1.48,-0.011,-0.040,0.052
2700,6.98,12.70,-8.02,-0.018,-0.039,0.045
2800,6.81,-12.94,-8.38,-0.023,-0.036,0.061
2900,9.92,-19.09,2.21,-0.020,-0.042,0.043
3000,8.46,-3.49,6.48,-0.012,-0.041,0.050
3100,10.12,19.45,5.48,-0.015,-0.037,0.053
3200,11.22,15.38,-2.84,-0.021,-0.044,0.040
3300,12.54,-13.36,-9.13,-0.014,-0.046,0.063
3400,14.00,-18.41,2.33,-0.017,-0.039,0.045
3500,9.89,2.32,4.03,-0.023,-0.040,0.050
3600,9.32,18.17,-0.68,-0.017,-0.042,0.051
3700,9.79,11.03,-8.06,-0.014,-0.039,0.039
3800,16.97,-14.94,-3.91,-0.015,-0.034,0.059
3900,8.97,-19.33,-0.52,-0.007,-0.029,0.043
4000,11.23,1.83,6.81,-0.002,-0.023,0.045
4100,13.95,17.09,-1.51,0.003,-0.020,0.056
4200,15.22,12.03,-8.80,0.008,-0.026,0.042
4300,10.47,-14.38,-4.29,0.003,-0.022,0.057
4400,15.39,-20.66,3.62,0.009,-0.022,0.044
4500,15.91,-3.88,11.36,0.015,-0.024,0.052
4600,15.89,15.21,5.18,0.023,-0.018,0.060
4700,11.55,13.68,-8.87,0.025,-0.019,0.040
4800,14.95,-13.94,-4.66,0.019,-0.015,0.059
4900,8.82,-21.21,2.37,0.015,-0.016,0.047
5000,16.58,-1.57,11.88,0.022,-0.019,0.047
5100,10.98,21.24,0.99,0.022,-0.018,0.058
5200,20.38,8.04,-3.69,0.015,-0.023,0.043
5300,17.05,-7.94,-9.13,0.015,-0.031,0.059
5400,16.58,-18.47,1.65,0.011,-0.028,0.039
5500,10.58,-0.99,5.07,0.013,-0.028,0.048
5600,14.35,17.31,-1.26,0.011,-0.030,0.052
5700,18.91,8.33,-4.25,0.012,-0.032,0.043
5800,17.54,-14.34,-3.02,0.015,-0.028,0.064
5900,15.48,-20.68,3.64,0.022,-0.021,0.047
