time_ms,heading_deg,roll_deg,pitch_deg,pos_x_m,pos_y_m,pos_z_m
0,-0.40,-1.35,5.86,-0.001,0.002,0.049
100,-0.55,22.40,3.78,0.005,0.010,0.054
200,0.22,9.84,-8.21,-0.003,0.017,0.045
300,0.52,-9.35,-6.23,0.001,0.022,0.059
400,1.03,-18.49,1.65,-0.000,0.030,0.048
500,0.22,1.38,8.41,-0.003,0.037,0.051
600,1.05,16.17,3.19,-0.001,0.042,0.055
700,0.99,11.43,-4.72,0.005,0.049,0.045
800,0.15,-11.74,-2.61,-0.002,0.053,0.064
900,-0.80,-18.98,3.28,-0.005,0.061,0.046
1000,-1.95,-2.14,10.40,-0.006,0.064,0.049
1100,0.14,16.65,6.39,-0.002,0.060,0.052
1200,1.02,11.26,-3.75,-0.007,0.060,0.041
1300,-1.20,-13.72,-4.39,-0.011,0.058,0.059
1400,0.74,-15.75,2.52,-0.004,0.066,0.048
1500,0.47,-0.96,10.05,0.001,0.063,0.051
1600,2.54,20.72,5.68,0.008,0.064,0.060
1700,3.21,7.81,-8.27,0.012,0.063,0.038
1800,0.37,-8.48,-7.12,0.015,0.069,0.057
1900,1.43,-21.83,0.83,0.009,0.065,0.040
2000,3.19,-2.30,6.48,0.009,0.067,0.046
2100,2.11,21.85,4.78,0.012,0.063,0.054
2200,3.63,12.39,-9.01,0.008,0.060,0.045
2300,2.57,-8.86,-4.41,0.001,0.067,0.058
2400,1.51,-19.74,2.00,0.001,0.068,0.040
2500,0.78,3.00,5.93,-0.004,0.068,0.050
2600,1.71,20.11,3.93,0.003,0.071,0.054
2700,3.74,10.23,-7.10,0.001,0.067,0.044
2800,2.62,-15.06,-4.49,-0.007,0.063,0.057
2900,6.67,-16.15,3.49,-0.010,0.056,0.047
3000,6.60,0.54,11.68,-0.018,0.050,0.051
3100,5.29,21.96,4.05,-0.024,0.044,0.057
3200,5.39,9.81,-4.74,-0.027,0.049,0.043
3300,5.76,-10.32,-9.50,-0.023,0.050,0.057
3400,8.17,-18.65,4.94,-0.026,0.047,0.039
3500,5.94,-2.48,7.11,-0.034,0.051,0.049
3600,8.79,18.09,1.64,-0.035,0.049,0.060
3700,5.84,8.68,-7.09,-0.029,0.056,0.039
3800,9.32,-9.10,-3.70,-0.027,0.054,0.062
3900,6.48,-21.77,-0.41,-0.019,0.047,0.041
4000,8.31,2.06,10.47,-0.017,0.054,0.053
4100,10.25,20.30,2.76,-0.022,0.058,0.055
4200,5.11,12.32,-4.71,-0.022,0.061,0.036
4300,8.09,-11.30,-5.98,-0.015,0.062,0.061
4400,7.47,-18.50,4.73,-0.009,0.056,0.049
4500,12.55,-3.76,7.84,-0.008,0.048,0.055
4600,11.50,22.65,1.91,-0.007,0.048,0.055
4700,11.05,10.35,-4.87,-0.001,0.052,0.041
4800,11.87,-8.28,-2.97,0.001,0.047,0.062
4900,10.65,-16.05,-0.44,-0.003,0.051,0.049
5000,12.81,3.24,5.04,-0.003,0.053,0.055
5100,8.17,20.37,3.32,0.004,0.047,0.052
