time_ms,heading_deg,roll_deg,pitch_deg,pos_x_m,pos_y_m,pos_z_m
0,0.08,-0.66,5.55,0.010,0.000,0.050
100,-0.02,11.57,3.21,0.020,0.000,0.060
200,-0.12,13.39,-2.40,0.030,-0.000,0.044
300,-0.29,5.03,-4.66,0.040,-0.000,0.044
400,-0.42,-8.44,-3.84,0.050,-0.000,0.060
500,-0.26,-14.65,0.36,0.060,-0.000,0.050
600,-0.31,-9.74,4.27,0.070,-0.000,0.040
700,-0.42,4.59,5.64,0.080,-0.000,0.056
800,-0.53,14.44,1.26,0.090,-0.000,0.056
900,-0.68,12.03,-3.81,0.100,-0.001,0.040
1000,-0.78,0.68,-4.46,0.110,-0.001,0.050
1100,-0.75,-12.95,-3.27,0.120,-0.001,0.060
1200,-0.57,-14.49,1.42,0.130,-0.001,0.044
1300,-0.53,-5.44,4.74,0.140,-0.001,0.044
1400,-0.59,8.60,3.15,0.150,-0.001,0.060
1500,-0.52,15.80,-0.25,0.160,-0.001,0.050
1600,-0.33,9.42,-3.66,0.170,-0.001,0.040
1700,-0.41,-4.68,-3.97,0.180,-0.001,0.056
1800,-0.30,-15.19,-0.59,0.190,-0.001,0.056
1900,-0.08,-11.22,2.70,0.200,-0.001,0.040
2000,-0.03,0.59,4.81,0.210,-0.001,0.050
2100,0.20,12.20,3.51,0.220,-0.001,0.060
2200,0.26,15.26,-1.36,0.230,-0.001,0.044
2300,0.45,4.77,-5.39,0.240,-0.001,0.044
2400,0.76,-8.06,-3.20,0.250,-0.001,0.060
2500,0.90,-14.08,-0.65,0.260,-0.001,0.050
2600,0.94,-9.60,4.22,0.270,-0.001,0.040
2700,1.09,3.78,5.35,0.280,-0.001,0.056
2800,1.08,14.55,0.69,0.290,-0.000,0.056
2900,1.31,11.65,-2.68,0.300,-0.000,0.040
3000,1.47,-0.17,-4.25,0.310,0.000,0.050
3100,1.55,-12.11,-2.61,0.320,0.000,0.060
3200,1.80,-14.98,2.02,0.330,0.001,0.044
3300,1.85,-4.81,4.81,0.340,0.001,0.044
3400,1.92,9.79,4.42,0.350,0.001,0.060
3500,2.24,14.42,-0.49,0.360,0.002,0.050
3600,2.36,8.23,-3.67,0.370,0.002,0.040
3700,2.54,-3.65,-4.58,0.380,0.003,0.056
3800,2.87,-14.11,-2.13,0.390,0.003,0.056
3900,2.87,-11.23,2.21,0.400,0.004,0.040
