# t_ms,heading_deg,roll_deg,pitch_deg
101,92.063,-5.750,-0.125
201,92.063,-5.750,-0.125
302,92.063,-5.750,-0.125
402,92.063,-5.750,-0.125
502,92.063,-5.750,-0.125
602,92.063,-5.750,-0.125
703,92.063,-5.750,-0.125
804,92.063,-5.750,-0.125
906,92.063,-5.750,-0.125
1007,92.063,-5.750,-0.125
1107,92.063,-5.750,-0.125
1208,92.063,-5.750,-0.125
1308,92.063,-5.750,-0.125
1408,92.063,-5.750,-0.125
1509,92.063,-5.750,-0.125
1609,92.063,-5.750,-0.125
1710,92.063,-5.750,-0.125
1810,92.063,-5.750,-0.125
1910,92.063,-5.750,-0.125
2011,92.063,-5.750,-0.125
2111,92.063,-5.750,-0.125
2211,92.063,-5.750,-0.125
2312,92.063,-5.750,-0.125
2412,92.063,-5.750,-0.125
2513,92.063,-5.750,-0.125
2614,92.063,-5.750,-0.125
2715,92.063,-5.750,-0.125
2815,92.063,-5.750,-0.125
2916,92.063,-5.750,-0.125
3017,92.063,-5.750,-0.125
3117,92.063,-5.750,-0.125
3217,92.063,-5.750,-0.125
3318,92.063,-5.750,-0.125
3419,92.063,-5.750,-0.125
3519,92.063,-5.750,-0.125
3619,92.063,-5.750,-0.125
3720,92.063,-5.750,-0.125
3820,92.063,-5.750,-0.125
3921,92.063,-5.750,-0.125
4021,92.063,-5.750,-0.125
4122,92.063,-5.750,-0.125
4223,92.063,-5.750,-0.125
4323,92.063,-5.750,-0.125
4424,92.063,-5.750,-0.125
4524,92.063,-5.750,-0.125
4625,92.063,-5.750,-0.125
4725,92.063,-5.750,-0.125
4826,92.063,-5.750,-0.125
4927,92.063,-5.750,-0.125
5027,92.063,-5.750,-0.125
5128,92.063,-5.750,-0.125
5229,92.063,-5.750,-0.125
5330,92.063,-5.750,-0.125
5430,92.063,-5.750,-0.125
5531,92.063,-5.750,-0.125
5632,92.063,-5.750,-0.125
